category,asset,parent,step_name,inferred_tactic_id,inferred_tactic,technique_id,technique_name,technique_tactics
Communication,Dataflow,,request,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,Dataflow,,respond,TA0106,Impair Process Control,T0856,Spoof Reporting Message,"Evasion, Impair Process Control"
Communication,Dataflow,,maliciousTransmitBypassConflitionProtection,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,Dataflow,,maliciousTransmitBypassIDPS,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,Dataflow,,maliciousTransmit,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,Dataflow,,eavesdropId,TA0100,Collection,T0861,Point & Tag Identification,Collection
Communication,Dataflow,,eavesdropAndBypassMsgConflictionProtection,TA0106,Impair Process Control,T0856,Spoof Reporting Message,"Evasion, Impair Process Control"
Communication,ConnectionOrientedDataflow,Dataflow,request,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,ConnectionOrientedDataflow,Dataflow,respond,TA0106,Impair Process Control,T0856,Spoof Reporting Message,"Evasion, Impair Process Control"
Communication,ConnectionlessDataflow,Dataflow,adversaryInTheMiddle,TA0100,Collection,T0830,Adversary-in-the-Middle,Collection
Communication,ConnectionlessDataflow,Dataflow,maliciousTransmitNoIDPS,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,ConnectionlessDataflow,Dataflow,maliciousTransmitBypassConflitionProtection,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,ConnectionlessDataflow,Dataflow,maliciousTransmitBypassIDPS,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,ConnectionlessDataflow,Dataflow,maliciousTransmit,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,ConnectionlessDataflow,Dataflow,transmit,TA0106,Impair Process Control,T0855,Unauthorized Command Message,Impair Process Control
Communication,ConnectionlessDataflow,Dataflow,eavesdropId,TA0100,Collection,T0861,Point & Tag Identification,Collection
Communication,ConnectionlessDataflow,Dataflow,eavesdropAndBypassMsgConflictionProtection,TA0106,Impair Process Control,T0856,Spoof Reporting Message,"Evasion, Impair Process Control"
Security,VehicularCredentials,Credentials,read,TA0100,Collection,T0893,Data from Local System,Collection
Security,VehicularCredentials,Credentials,readFirmwareAccessKey,TA0100,Collection,T0893,Data from Local System,Collection
Security,MessageID,,read,TA0100,Collection,T0861,Point & Tag Identification,Collection
System,EthernetGatewayECU,GatewayECU,fullAccess,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
System,EthernetGatewayECU,GatewayECU,forwarding,TA0109,Lateral Movement,T0886,Remote Services,"Initial Access, Lateral Movement"
System,EthernetGatewayECU,GatewayECU,deny,TA0107,Inhibit Response Function,T0814,Denial of Service,Inhibit Response Function
Networking,Router,Service,fullAccess,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
Networking,Router,Service,noFirewallProtection,TA0103,Evasion,T0820,Exploitation for Evasion,Evasion
Networking,Router,Service,forwarding,TA0109,Lateral Movement,T0886,Remote Services,"Initial Access, Lateral Movement"
Networking,Router,Service,deny,TA0107,Inhibit Response Function,T0814,Denial of Service,Inhibit Response Function
Networking,EthernetNetwork,VehicleNetwork,physicalAccess,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Networking,EthernetNetwork,VehicleNetwork,accessUninspected,TA0108,Initial Access,T0822,External Remote Services,Initial Access
Networking,EthernetNetwork,VehicleNetwork,bypassPortSecurity,TA0103,Evasion,T0820,Exploitation for Evasion,Evasion
Networking,EthernetNetwork,VehicleNetwork,bypassAccessControl,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
Networking,EthernetNetwork,VehicleNetwork,accessDataLinkLayer,TA0108,Initial Access,T0886,Remote Services,"Initial Access, Lateral Movement"
Networking,EthernetNetwork,VehicleNetwork,accessNetworkLayer,TA0108,Initial Access,T0822,External Remote Services,Initial Access
Networking,EthernetNetwork,VehicleNetwork,aRPCachePoisoning,TA0100,Collection,T0830,Adversary-in-the-Middle,Collection
Networking,EthernetNetwork,VehicleNetwork,adversaryInTheMiddle,TA0100,Collection,T0830,Adversary-in-the-Middle,Collection
Networking,EthernetNetwork,VehicleNetwork,deny,TA0107,Inhibit Response Function,T0814,Denial of Service,Inhibit Response Function
System,InfotainmentSystem,Machine,fullAccess,TA0111,Privilege Escalation,T0890,Exploitation for Privilege Escalation,Privilege Escalation
System,InfotainmentSystem,Machine,gainNetworkAccess,TA0109,Lateral Movement,T0886,Remote Services,"Initial Access, Lateral Movement"
System,InfotainmentSystem,Machine,engineerNetworkAccess,TA0109,Lateral Movement,T0866,Exploitation of Remote Services,"Initial Access, Lateral Movement"
System,NetworkAccessService,NetworkService,fullAccess,TA0108,Initial Access,T0886,Remote Services,"Initial Access, Lateral Movement"
Communication,OBD2Connector,,physicalAccess,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Communication,OBD2Connector,,connect,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Communication,OBD2Connector,,bypassConnectorProtection,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Communication,ChargingPlugConnector,,physicalAccess,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Communication,AftermarketDongle,,connectDongle,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Communication,AftermarketDongle,,_connectToNetwork,TA0108,Initial Access,T0864,Transient Cyber Asset,Initial Access
Communication,CoreEncryptedData,Data,authorizedRead,TA0109,Lateral Movement,T0859,Valid Accounts,"Lateral Movement, Persistence"
Communication,CoreEncryptedData,Data,authorizedWrite,TA0109,Lateral Movement,T0859,Valid Accounts,"Lateral Movement, Persistence"
Communication,CoreEncryptedData,Data,readEncrypted,TA0100,Collection,T0893,Data from Local System,Collection
Communication,CoreEncryptedData,Data,writeEncrypted,TA0107,Inhibit Response Function,T0809,Data Destruction,Inhibit Response Function
Security,CryptographicKey,Data,read,TA0100,Collection,T0893,Data from Local System,Collection
